Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,27,805,27,27,805,119,316,0.377,20,60,0.333,99,256,0.387,56,116,0.483,45,146,60,42,10,92,73,314
Elisa Aguilar,UTA,G,28,141,28,0,141,14,33,0.424,11,21,0.524,3,12,0.25,4,7,0.571,0,11,16,3,2,11,5,43
Monique Ambers,SAC,F,2,4,2,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0
Keisha Anderson,CHA,G,7,31,7,0,31,3,12,0.25,1,4,0.25,2,8,0.25,0,0,,2,6,5,0,0,3,4,7
Mery Andrade,CLE,F,32,665,32,16,665,34,111,0.306,5,26,0.192,29,85,0.341,18,23,0.783,17,56,67,28,6,41,82,91
Janeth Arcain,HOU,G,32,1116,32,32,1116,128,302,0.424,10,37,0.27,118,265,0.445,98,111,0.883,42,126,86,51,6,71,49,364
Jennifer Azzi,UTA,G,32,1151,32,32,1151,91,198,0.46,41,92,0.446,50,106,0.472,83,104,0.798,15,69,158,27,14,67,102,306
Tricia Bader Binford,CLE,G,18,132,18,0,132,4,26,0.154,1,14,0.071,3,12,0.25,5,6,0.833,1,7,15,6,1,7,3,14
LaQuanda Barksdale,POR,G,17,285,17,3,285,36,101,0.356,5,22,0.227,31,79,0.392,23,26,0.885,18,40,12,8,7,23,31,100
Adia Barnes,SEA,F,26,493,26,17,493,37,111,0.333,1,4,0.25,36,107,0.336,15,29,0.517,45,102,28,32,9,25,64,90
Quacy Barnes,PHO,C,2,13,2,0,13,0,7,0,0,0,,0,7,0,3,4,0.75,0,1,0,1,2,0,1,3
Cass Bauer-Bilodeau,SAC,C,25,233,25,2,233,17,57,0.298,0,0,,17,57,0.298,9,15,0.6,14,41,1,2,5,25,34,43
