Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tajama Abraham,DET,C,12,44,12,0,44,5,14,0.357,0,0,,5,14,0.357,8,15,0.533,2,7,0,2,1,5,8,18
Janeth Arcain,HOU,G,30,657,30,4,657,83,195,0.426,5,33,0.152,78,162,0.481,34,45,0.756,43,108,26,25,3,38,48,205
Marlies Askamp,PHO,C,26,319,26,0,319,49,104,0.471,0,0,,49,104,0.471,41,62,0.661,36,85,12,12,7,22,45,139
Tricia Bader Binford,UTA,G,22,206,22,0,206,16,53,0.302,10,27,0.37,6,26,0.231,4,8,0.5,0,10,20,13,0,26,34,46
Elena Baranova,UTA,F,20,671,20,19,671,92,219,0.42,15,48,0.313,77,171,0.45,59,71,0.831,61,186,70,21,30,55,44,258
Adia Barnes,SAC,F,29,619,29,16,619,88,223,0.395,14,47,0.298,74,176,0.42,29,39,0.744,35,84,22,15,10,53,70,219
Quacy Barnes,SAC,C,17,90,17,0,90,6,15,0.4,0,0,,6,15,0.4,4,11,0.364,5,8,2,1,6,9,20,16
Tully Bevilaqua,CLE,G,11,126,11,2,126,8,14,0.571,1,3,0.333,7,11,0.636,4,6,0.667,2,10,23,12,2,9,12,21
Rhonda Blades,DET,G,29,340,29,2,340,20,78,0.256,12,50,0.24,8,28,0.286,14,29,0.483,5,32,41,12,1,41,47,66
Cindy Blodgett,CLE,G,22,184,22,0,184,19,66,0.288,10,37,0.27,9,29,0.31,15,24,0.625,2,14,18,9,0,12,18,63
Octavia Blue,LAS,F,30,331,30,3,331,26,77,0.338,6,21,0.286,20,56,0.357,15,24,0.625,19,49,10,13,3,27,41,73
Ruthie Bolton,SAC,G,5,133,5,4,133,17,58,0.293,4,26,0.154,13,32,0.406,17,28,0.607,5,11,6,6,0,7,12,55
Karen Booker,HOU,C,1,2,1,0,2,0,1,0,0,0,,0,1,0,0,0,,0,0,0,1,0,0,0,0
Kelly Boucher,CHA,F,9,52,9,0,52,3,15,0.2,1,6,0.167,2,9,0.222,3,4,0.75,2,13,2,1,0,3,3,10
Carla Boyd,DET,F,30,817,30,24,817,89,260,0.342,19,63,0.302,70,197,0.355,48,76,0.632,51,118,68,27,10,52,88,245
Albena Branzova,NYL,F,11,94,11,0,94,9,25,0.36,2,4,0.5,7,21,0.333,3,4,0.75,6,16,5,3,1,12,12,23
Gergana Branzova,DET,F,26,204,26,0,204,29,65,0.446,0,4,0,29,61,0.475,11,20,0.55,13,42,7,3,4,21,42,69
Janice Braxton,CLE,F,30,840,30,30,840,108,218,0.495,2,6,0.333,106,212,0.5,77,102,0.755,37,168,74,51,15,67,77,295
Razija Brcaninovic,DET,C,30,695,30,30,695,106,204,0.52,0,0,,106,204,0.52,60,90,0.667,54,154,29,9,26,64,86,272
Michelle Brogan,PHO,F,30,779,30,25,779,93,184,0.505,11,23,0.478,82,161,0.509,78,98,0.796,45,133,41,44,5,52,48,275
Sandy Brondello,DET,G,30,993,30,28,993,157,367,0.428,16,44,0.364,141,323,0.437,96,104,0.923,18,87,98,38,1,64,58,426
Cindy Brown,DET,F,30,965,30,30,965,126,268,0.47,20,61,0.328,106,207,0.512,82,116,0.707,70,301,53,51,22,67,105,354
La'Shawn Brown,WAS,C,22,272,22,2,272,13,37,0.351,0,0,,13,37,0.351,17,33,0.515,17,53,8,10,20,24,62,43
Rushia Brown,CLE,F,30,522,30,7,522,64,139,0.46,0,1,0,64,138,0.464,66,85,0.776,34,93,28,34,16,49,79,194
Vicky Bullett,CHA,F,30,947,30,30,947,162,367,0.441,4,26,0.154,158,341,0.463,71,86,0.826,62,194,46,66,46,64,88,399
Heidi Burge,WAS,F-C,30,501,30,15,501,81,159,0.509,2,7,0.286,79,152,0.52,37,62,0.597,31,100,26,16,15,73,93,201
Linda Burgess,SAC,F,30,692,30,29,692,90,189,0.476,1,8,0.125,89,181,0.492,45,59,0.763,53,146,28,42,11,61,81,226
