Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,30,792,30,25,792,112,285,0.393,25,82,0.305,87,203,0.429,69,98,0.704,44,141,82,44,11,90,79,318
Jordan Adams,MIN,C,10,96,10,0,96,13,33,0.394,5,12,0.417,8,21,0.381,2,2,1,10,23,4,2,3,10,10,33
Mactabene Amachree,SEA,F,7,47,7,0,47,3,10,0.3,0,0,,3,10,0.3,2,4,0.5,4,14,0,5,2,9,3,8
Chantelle Anderson,SAC,C,26,171,26,0,171,19,44,0.432,0,0,,19,44,0.432,4,12,0.333,7,24,5,5,5,17,33,42
Janeth Arcain,HOU,G,34,1136,34,34,1136,151,324,0.466,9,37,0.243,142,287,0.495,79,94,0.84,24,136,67,41,1,50,64,390
Leigh Aziz,IND,F,7,44,7,0,44,4,14,0.286,0,0,,4,14,0.286,2,4,0.5,2,9,1,0,4,3,5,10
Jennifer Azzi,SAS,G,34,1136,34,34,1136,85,211,0.403,39,97,0.402,46,114,0.404,51,65,0.785,10,91,111,27,9,61,98,260
Elena Baranova,NYL,F,33,850,33,7,850,107,257,0.416,33,91,0.363,74,166,0.446,31,35,0.886,45,181,64,36,43,62,69,278
LaQuanda Barksdale,SAS,G,26,168,26,0,168,21,79,0.266,15,52,0.288,6,27,0.222,2,2,1,8,33,5,1,3,10,21,59
Adia Barnes,SEA,F,16,396,16,16,396,32,84,0.381,12,31,0.387,20,53,0.377,12,21,0.571,26,65,23,11,7,18,36,88
Lucienne Berthieu,CLE,F-C,22,201,22,4,201,27,52,0.519,0,1,0,27,51,0.529,30,46,0.652,20,42,6,10,4,22,38,84
Tully Bevilaqua,SEA,G,31,252,31,0,252,17,51,0.333,8,21,0.381,9,30,0.3,16,21,0.762,9,26,32,14,1,20,30,58
Sue Bird,SEA,G,34,1136,34,34,1136,155,368,0.421,49,140,0.35,106,228,0.465,61,69,0.884,22,113,221,48,1,110,47,420
Debbie Black,CON,G,34,373,34,0,373,24,68,0.353,1,3,0.333,23,65,0.354,6,9,0.667,16,51,46,20,2,18,33,55
Octavia Blue,HOU,F,16,37,16,0,37,1,4,0.25,0,0,,1,4,0.25,2,4,0.5,1,2,2,0,0,2,3,4
Ruthie Bolton,SAC,G,33,521,33,0,521,55,175,0.314,19,98,0.194,36,77,0.468,20,26,0.769,15,57,35,33,2,21,52,149
Sandy Brondello,SEA,G,34,975,34,34,975,117,282,0.415,21,48,0.438,96,234,0.41,25,31,0.806,19,56,69,31,2,37,58,280
Coretta Brown,IND,G,30,522,30,2,522,61,164,0.372,36,100,0.36,25,64,0.391,28,33,0.848,11,41,31,21,4,36,30,186
Edwina Brown,PHO,G-F,34,524,34,6,524,41,152,0.27,0,3,0,41,149,0.275,36,44,0.818,29,71,62,30,7,47,44,118
Kiesha Brown,WAS,G,27,269,27,0,269,24,72,0.333,10,33,0.303,14,39,0.359,2,3,0.667,6,32,28,13,1,22,23,60
Rushia Brown,CHA,F,34,483,34,5,483,53,116,0.457,0,2,0,53,114,0.465,19,23,0.826,34,83,16,29,10,35,88,125
Marla Brumfield,CHA,G,25,123,25,0,123,6,16,0.375,0,3,0,6,13,0.462,6,6,1,1,10,14,1,1,6,13,18
Annie La Fleur,WAS,G,34,841,34,33,841,50,134,0.373,16,58,0.276,34,76,0.447,15,25,0.6,24,79,112,27,1,52,47,131
Alisa Burras,SEA,C,27,270,27,2,270,35,75,0.467,0,0,,35,75,0.467,19,27,0.704,27,61,5,5,5,25,58,89
Janell Burse,MIN,C,29,438,29,14,438,76,155,0.49,0,2,0,76,153,0.497,54,70,0.771,40,108,19,13,28,42,81,206
Latasha Byears,LAS,G-F,5,72,5,0,72,10,25,0.4,0,1,0,10,24,0.417,8,11,0.727,12,21,2,0,2,2,12,28
Edna Campbell,SAC,G,34,724,34,34,724,98,244,0.402,46,111,0.414,52,133,0.391,25,33,0.758,17,70,43,21,5,43,42,267
Dominique Canty,HOU,G,32,648,32,4,648,55,145,0.379,0,1,0,55,144,0.382,62,93,0.667,36,100,56,22,1,49,62,172
Swin Cash*,DET,F,33,1097,33,33,1097,195,430,0.453,12,40,0.3,183,390,0.469,146,214,0.682,65,193,119,43,23,108,76,548
Iziane Castro Marques,PHO,F-G,16,178,16,0,178,25,71,0.352,8,27,0.296,17,44,0.386,11,18,0.611,6,12,9,6,1,10,11,69
Tamika Catchings*,IND,F,34,1210,34,34,1210,221,512,0.432,74,191,0.387,147,321,0.458,155,183,0.847,82,272,114,72,35,102,122,671
Kayte Christensen,PHO,F,30,659,30,16,659,78,161,0.484,0,0,,78,161,0.484,50,83,0.602,61,126,16,25,16,39,104,206
Courtney Coleman,CON,F,20,141,20,0,141,11,20,0.55,0,0,,11,20,0.55,14,30,0.467,8,22,1,8,2,13,18,36
Cynthia Cooper*,HOU,G,4,144,4,4,144,16,38,0.421,7,18,0.389,9,20,0.45,25,28,0.893,2,10,22,4,1,14,9,64
Sylvia Crawley,SAS,F,33,564,33,8,564,50,130,0.385,0,0,,50,130,0.385,15,22,0.682,39,105,19,18,19,40,76,115
Edniesha Curry,PHO,G,20,205,20,0,205,13,35,0.371,5,22,0.227,8,13,0.615,2,3,0.667,1,11,24,9,0,15,25,33
Stacey Dales,WAS,F,34,998,34,31,998,122,298,0.409,57,160,0.356,65,138,0.471,39,55,0.709,44,101,114,29,12,72,97,340
Grace Daley,PHO,G,3,28,3,0,28,1,5,0.2,0,2,0,1,3,0.333,0,0,,1,2,3,0,1,3,2,2
Helen Darling,CLE,G,34,832,34,34,832,44,143,0.308,23,71,0.324,21,72,0.292,30,41,0.732,25,87,128,39,6,74,87,141
Anna DeForge,PHO,G,34,1065,34,27,1065,147,357,0.412,61,148,0.412,86,209,0.411,50,69,0.725,32,105,72,51,12,53,61,405
Tai Dillard,SAS,G,24,168,24,0,168,16,65,0.246,4,23,0.174,12,42,0.286,5,6,0.833,1,15,15,7,4,14,22,41
Tamecka Dixon,LAS,G,30,1042,30,30,1042,159,364,0.437,11,52,0.212,148,312,0.474,83,94,0.883,41,126,89,35,10,69,83,412
Bethany Donaphin,NYL,F-C,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Katie Douglas,CON,G-F,28,843,28,27,843,120,274,0.438,47,123,0.382,73,151,0.483,49,68,0.721,33,106,56,31,11,28,38,336
Margo Dydek,SAS,C,34,926,34,34,926,156,346,0.451,0,1,0,156,345,0.452,94,130,0.723,45,251,58,19,100,80,113,406
Simone Edwards,SEA,C,34,577,34,6,577,61,134,0.455,0,0,,61,134,0.455,35,56,0.625,54,133,16,10,9,31,55,157
Teresa Edwards*,MIN,G-F,34,854,34,34,854,63,168,0.375,24,80,0.3,39,88,0.443,31,40,0.775,24,105,148,41,11,92,60,181
Shalonda Enis,CHA,F-C,29,613,29,20,613,82,188,0.436,26,62,0.419,56,126,0.444,62,77,0.805,62,125,16,29,2,41,63,252
Barbara Farris,DET,F-C,34,522,34,0,522,43,99,0.434,0,0,,43,99,0.434,41,63,0.651,29,82,23,10,4,41,62,127
Allison Feaster,CHA,F,34,1096,34,34,1096,142,378,0.376,72,205,0.351,70,173,0.405,66,78,0.846,37,113,73,52,9,72,75,422
Marie Ferdinand-Harris,SAS,G,34,1116,34,34,1116,139,384,0.362,16,52,0.308,123,332,0.37,176,223,0.789,28,127,90,58,6,85,87,470
Ukari Figgs,HOU,G,34,952,34,30,952,52,124,0.419,26,69,0.377,26,55,0.473,19,22,0.864,11,81,82,26,1,59,33,149
Cheryl Ford,DET,F,32,956,32,32,956,128,270,0.474,0,0,,128,270,0.474,88,129,0.682,99,334,27,32,31,79,109,344
La'Keshia Frett,SAC,F,24,150,24,4,150,17,47,0.362,1,2,0.5,16,45,0.356,1,2,0.5,9,23,12,2,3,10,16,36
Linda Frohlich,NYL,F-C,26,214,26,0,214,31,72,0.431,7,13,0.538,24,59,0.407,14,22,0.636,11,36,15,6,8,14,26,83
Kelley Gibson,HOU,F-G,26,209,26,0,209,14,42,0.333,10,24,0.417,4,18,0.222,0,0,,4,16,8,1,5,9,14,38
Jennifer Gillom,LAS,F-C,33,397,33,10,397,40,97,0.412,7,26,0.269,33,71,0.465,16,21,0.762,18,55,21,16,3,9,65,103
