Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Markita Aldridge,WAS,G,29,272,29,0,272,25,54,0.463,6,12,0.5,19,42,0.452,7,22,0.318,8,24,28,9,4,27,30,63
Keisha Anderson,WAS,G,30,434,30,9,434,29,68,0.426,3,8,0.375,26,60,0.433,14,18,0.778,12,46,75,25,3,47,53,75
Mery Andrade,CLE,F,32,797,32,18,797,89,195,0.456,27,75,0.36,62,120,0.517,60,80,0.75,32,95,75,41,10,65,91,265
Janeth Arcain,HOU,G,32,977,32,32,977,109,233,0.468,9,45,0.2,100,188,0.532,41,49,0.837,36,119,60,42,3,53,66,268
Marlies Askamp,MIA,C,32,869,32,32,869,85,209,0.407,1,2,0.5,84,207,0.406,80,117,0.684,96,231,29,17,21,49,95,251
Jennifer Azzi,UTA,G,15,559,15,15,559,47,104,0.452,10,24,0.417,37,80,0.463,40,43,0.93,5,41,92,12,5,28,43,144
Tricia Bader Binford,CLE,G,25,201,25,0,201,17,48,0.354,8,24,0.333,9,24,0.375,5,6,0.833,2,11,21,17,1,18,16,47
Rhonda Banchero,SAC,C,9,21,9,0,21,2,7,0.286,0,2,0,2,5,0.4,2,4,0.5,2,3,1,0,0,2,3,6
Adia Barnes,CLE,F,5,18,5,0,18,3,5,0.6,0,1,0,3,4,0.75,2,4,0.5,2,2,4,0,0,2,2,8
Quacy Barnes,SEA,C,31,705,31,23,705,89,213,0.418,1,9,0.111,88,204,0.431,30,56,0.536,27,84,33,19,33,62,103,209
Cass Bauer-Bilodeau,CHA,C,29,398,29,18,398,29,72,0.403,0,1,0,29,71,0.408,18,21,0.857,20,56,14,8,3,28,72,76
Tully Bevilaqua,POR,G,32,796,32,32,796,40,112,0.357,17,60,0.283,23,52,0.442,56,72,0.778,19,95,89,41,6,66,92,153
Jessica Bibby,NYL,G,17,69,17,0,69,3,18,0.167,2,6,0.333,1,12,0.083,11,13,0.846,3,5,11,3,0,12,9,19
Debbie Black,MIA,G,32,820,32,32,820,57,150,0.38,9,42,0.214,48,108,0.444,29,42,0.69,23,92,98,58,1,50,86,152
Cindy Blodgett,SAC,G,20,133,20,0,133,20,50,0.4,8,28,0.286,12,22,0.545,4,6,0.667,1,9,3,8,1,13,9,52
Ruthie Bolton,SAC,G,29,868,29,29,868,133,368,0.361,50,160,0.313,83,208,0.399,64,84,0.762,42,106,57,34,1,45,60,380
Angie Braziel,CHA,F,22,203,22,3,203,19,49,0.388,0,0,,19,49,0.388,13,19,0.684,16,34,5,5,0,17,24,51
Michelle Brogan,PHO,F,28,725,28,23,725,70,137,0.511,8,25,0.32,62,112,0.554,63,79,0.797,40,111,49,30,6,36,88,211
Edwina Brown,DET,G-F,32,619,32,7,619,60,169,0.355,1,4,0.25,59,165,0.358,67,80,0.838,36,88,72,24,5,68,77,188
Rushia Brown,CLE,F,30,679,30,22,679,93,187,0.497,1,2,0.5,92,185,0.497,66,78,0.846,54,124,44,38,13,59,81,253
Marla Brumfield,MIN,G,32,613,32,17,613,47,101,0.465,1,9,0.111,46,92,0.5,29,42,0.69,22,60,42,22,2,40,70,124
Vicky Bullett,WAS,F,32,1094,32,32,1094,143,294,0.486,11,34,0.324,132,260,0.508,45,63,0.714,61,183,42,64,47,58,88,342
Linda Burgess,SAC,F,5,41,5,0,41,3,15,0.2,0,0,,3,15,0.2,6,9,0.667,7,17,2,1,0,4,8,12
Alisa Burras,POR,C,21,314,21,4,314,64,109,0.587,0,0,,64,109,0.587,31,41,0.756,20,74,6,3,7,36,36,159
Latasha Byears,SAC,G-F,32,521,32,0,521,75,143,0.524,1,2,0.5,74,141,0.525,30,49,0.612,42,122,21,30,5,35,72,181
Edna Campbell,SEA,G,16,510,16,16,510,84,215,0.391,13,49,0.265,71,166,0.428,41,58,0.707,8,34,37,19,4,40,35,222
Michelle Campbell,WAS,C,5,22,5,0,22,2,5,0.4,0,0,,2,5,0.4,2,2,1,0,2,1,0,1,3,2,6
Dominique Canty,DET,G,28,784,28,27,784,83,203,0.409,0,5,0,83,198,0.419,91,131,0.695,31,70,82,49,5,51,64,257
Jamie Cassidy,MIA,C,22,175,22,0,175,20,55,0.364,4,8,0.5,16,47,0.34,30,43,0.698,7,23,9,5,2,13,17,74
Michelle Cleary,PHO,G,24,509,24,7,509,14,45,0.311,10,30,0.333,4,15,0.267,19,27,0.704,12,37,77,34,2,14,36,59
Stacy Clinesmith,SAC,G,26,285,26,2,285,20,57,0.351,12,41,0.293,8,16,0.5,14,17,0.824,7,30,49,12,1,25,19,66
Katrina Colleton,MIA,F,32,873,32,32,873,103,293,0.352,5,21,0.238,98,272,0.36,53,70,0.757,15,63,50,27,7,65,65,264
Cynthia Cooper*,HOU,G,31,1085,31,31,1085,180,392,0.459,43,121,0.355,137,271,0.506,147,168,0.875,17,85,156,39,6,99,61,550
Sylvia Crawley,POR,F,31,930,31,30,930,143,298,0.48,0,2,0,143,296,0.483,71,102,0.696,64,185,34,29,24,88,96,357
Beth Cunningham,WAS,G,21,198,21,0,198,17,68,0.25,9,37,0.243,8,31,0.258,16,19,0.842,4,21,12,2,0,12,23,59
Grace Daley,MIN,G,30,577,30,4,577,57,147,0.388,17,56,0.304,40,91,0.44,42,65,0.646,32,72,57,12,0,50,49,173
Helen Darling,CLE,G,32,556,32,0,556,47,150,0.313,13,38,0.342,34,112,0.304,48,65,0.738,24,63,65,37,5,67,52,155
Anna DeForge,DET,G,27,433,27,10,433,51,126,0.405,18,56,0.321,33,70,0.471,25,32,0.781,9,47,47,27,4,33,34,145
Keitha Dickerson,MIN,F,32,791,32,29,791,54,142,0.38,0,2,0,54,140,0.386,34,45,0.756,31,141,59,37,2,70,107,142
Tamecka Dixon,LAS,G,31,882,31,31,882,132,291,0.454,12,34,0.353,120,257,0.467,62,77,0.805,34,105,96,40,10,60,86,338
Cintia dos Santos,ORL,C,32,820,32,31,820,94,222,0.423,0,1,0,94,221,0.425,40,57,0.702,35,124,38,16,63,54,111,228
Margo Dydek,UTA,C,32,775,32,32,775,105,236,0.445,2,14,0.143,103,222,0.464,82,103,0.796,29,175,51,18,96,82,114,294
Simone Edwards,SEA,C,29,645,29,7,645,83,182,0.456,0,0,,83,182,0.456,50,80,0.625,38,107,22,16,10,44,57,216
