Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Markita Aldridge,WAS,G,31,379,31,2,379,29,94,0.309,3,20,0.15,26,74,0.351,20,33,0.606,12,37,33,15,7,41,35,81
Mery Andrade,CLE,F,32,364,32,1,364,23,59,0.39,7,24,0.292,16,35,0.457,18,26,0.692,15,50,48,18,4,40,73,71
Janeth Arcain,HOU,G,32,735,32,1,735,71,164,0.433,11,44,0.25,60,120,0.5,34,41,0.829,32,91,38,30,2,39,63,187
Marlies Askamp,PHO,C,30,781,30,30,781,95,197,0.482,0,2,0,95,195,0.487,93,114,0.816,92,215,25,22,18,37,98,283
Angela Aycock,PHO,G,8,30,8,0,30,0,4,0,0,3,0,0,1,0,4,4,1,0,1,3,2,0,6,5,4
Jennifer Azzi,DET,G,28,838,28,19,838,93,181,0.514,30,58,0.517,63,123,0.512,86,104,0.827,5,61,106,24,4,56,103,302
Elena Baranova,UTA,F,29,572,29,19,572,60,148,0.405,20,48,0.417,40,100,0.4,33,41,0.805,25,98,45,20,23,44,58,173
Adia Barnes,MIN,F,19,91,19,0,91,7,23,0.304,1,3,0.333,6,20,0.3,6,12,0.5,8,20,6,5,0,8,16,21
Cass Bauer-Bilodeau,CHA,C,25,123,25,0,123,13,34,0.382,0,1,0,13,33,0.394,7,8,0.875,4,20,4,1,1,13,20,33
Nina Bjedov,LAS,C,27,431,27,0,431,52,100,0.52,8,19,0.421,44,81,0.543,9,18,0.5,21,70,17,9,22,26,60,121
Debbie Black,UTA,G,32,1014,32,32,1014,62,164,0.378,8,41,0.195,54,123,0.439,31,50,0.62,31,111,161,77,6,67,116,163
Cindy Blodgett,SAC,G,12,34,12,0,34,3,13,0.231,0,7,0,3,6,0.5,5,9,0.556,0,1,1,1,0,5,4,11
Ruthie Bolton,SAC,G,31,970,31,30,970,143,393,0.364,60,187,0.321,83,206,0.403,75,94,0.798,46,132,73,31,0,44,68,421
Carla Boyd,DET,F,32,694,32,26,694,69,174,0.397,17,51,0.333,52,123,0.423,17,27,0.63,25,72,51,24,8,54,84,172
Janice Braxton,CLE,F,26,476,26,21,476,52,113,0.46,1,8,0.125,51,105,0.486,46,66,0.697,26,111,33,19,13,34,53,151
Angie Braziel,CHA,F,7,41,7,0,41,7,14,0.5,0,0,,7,14,0.5,10,12,0.833,1,11,3,2,0,2,6,24
Sandy Brondello,DET,G,32,1002,32,32,1002,152,347,0.438,37,76,0.487,115,271,0.424,83,98,0.847,29,66,73,25,5,75,81,424
Lesley Brown,DET,F,13,43,13,0,43,7,16,0.438,1,2,0.5,6,14,0.429,4,6,0.667,2,9,2,1,1,6,10,19
Rushia Brown,CLE,F,30,434,30,12,434,53,124,0.427,0,1,0,53,123,0.431,25,37,0.676,31,87,20,19,10,34,60,131
Vicky Bullett,CHA,F,32,1008,32,32,1008,142,292,0.486,10,27,0.37,132,265,0.498,75,97,0.773,60,219,50,62,45,60,77,369
Annie La Fleur,MIN,G,25,333,25,0,333,23,67,0.343,11,25,0.44,12,42,0.286,2,8,0.25,14,38,36,8,0,20,19,59
Heather Burge,SAC,C,13,28,13,0,28,3,7,0.429,0,0,,3,7,0.429,1,5,0.2,0,5,0,2,2,5,5,7
Linda Burgess,SAC,F,27,233,27,0,233,33,76,0.434,0,1,0,33,75,0.44,31,41,0.756,17,55,3,6,2,20,42,97
Alisa Burras,CLE,C,31,563,31,22,563,103,191,0.539,0,0,,103,191,0.539,26,47,0.553,40,124,17,17,10,38,47,232
Latasha Byears,SAC,G-F,32,705,32,32,705,130,242,0.537,0,1,0,130,241,0.539,35,62,0.565,77,171,31,36,6,60,101,295
Edna Campbell,PHO,G,28,750,28,24,750,95,261,0.364,38,101,0.376,57,160,0.356,40,56,0.714,11,53,37,25,10,48,53,268
Michelle Campbell,UTA,C,8,30,8,0,30,3,10,0.3,0,1,0,3,9,0.333,2,4,0.5,0,6,2,0,0,4,4,8
Dominique Canty,DET,G,26,646,26,11,646,76,229,0.332,3,17,0.176,73,212,0.344,94,136,0.691,35,80,38,26,1,45,57,249
Sonia Chase,CHA,G,13,58,13,0,58,3,16,0.188,3,11,0.273,0,5,0,2,2,1,2,5,5,4,0,2,9,11
Andrea Congreaves,ORL,F-C,32,812,32,32,812,75,150,0.5,15,41,0.366,60,109,0.55,44,53,0.83,40,101,34,24,7,49,84,209
Cynthia Cooper*,HOU,G,31,1101,31,31,1101,212,458,0.463,58,173,0.335,154,285,0.54,204,229,0.891,17,87,162,43,11,104,61,686
Clarissa Davis-Wrightsil,PHO,F,14,259,14,9,259,52,120,0.433,10,33,0.303,42,87,0.483,16,24,0.667,15,38,20,12,4,22,39,130
Tamecka Dixon,LAS,G,32,563,32,14,563,77,199,0.387,15,48,0.313,62,151,0.411,48,65,0.738,17,66,53,17,4,39,42,217
Margo Dydek,UTA,C,32,733,32,28,733,141,283,0.498,7,20,0.35,134,263,0.51,114,133,0.857,38,204,59,13,77,91,112,403
Michelle Edwards,CLE,G,31,745,31,28,745,88,245,0.359,15,69,0.217,73,176,0.415,45,65,0.692,6,72,81,26,8,72,58,236
Tonya Edwards,MIN,G,32,1031,32,32,1031,165,462,0.357,66,192,0.344,99,270,0.367,79,98,0.806,15,112,84,27,13,68,104,475
Shalonda Enis,WAS,F-C,29,844,29,26,844,83,228,0.364,11,40,0.275,72,188,0.383,39,57,0.684,53,157,47,23,4,60,82,216
